date,mean temperature,maximum temperature,minimum temperature,rainfall,daylight,steam pressure,cloudiness,wind spped,fallen snow
2022/1/1,3.8,7.2,1.9,0,4.7,4.9,7.8,2.3,0
2022/1/2,4.8,9.5,-0.1,0,9,5.5,1.5,1.5,0
2022/1/3,7.7,11.5,3.5,0,9,5.8,3.5,1.8,0
2022/1/4,7.1,9.9,4.5,0,3.3,5.7,7,3,0
2022/1/5,4.9,8.1,3.1,0,2.6,5.1,7.3,2,0
2022/1/6,4.2,7,2.6,0,2.8,5.8,6.8,1.6,0
2022/1/7,5.8,8.1,3.8,0,3.1,5,5,2.1,0
2022/1/8,5.7,10.5,1.4,0,9.6,5.1,0.8,1.1,0
2022/1/9,7,12.2,1.7,0,7.7,6.2,7.5,1.2,0
2022/1/10,9,13.6,4.6,0,9.4,6.4,3,1.3,0
2022/1/11,6.4,8.3,4.2,7.5,0.5,6.7,7.8,2.6,0
2022/1/12,4.3,6.5,2.8,0,2.6,5.2,6.8,2.5,0
2022/1/13,4.6,8.1,1.5,0,6.3,4.3,4,4.7,0
2022/1/14,3.6,6.6,1,0,4.5,4.6,5.3,2.6,0
2022/1/15,5.9,9.6,2.6,0,6.9,5.1,6.8,1.2,0
2022/1/16,6.5,11,0.5,0,7.3,6.5,5.8,1.6,0
2022/1/17,7.5,9.6,4.4,0,4.7,5,7.3,3.4,0
2022/1/18,3.9,6,2.5,0,2.5,4.8,4,2.8,0
2022/1/19,4.4,7.9,0.9,0,6.2,5.3,4.5,1.6,0
2022/1/20,4.4,7.7,1.6,0,6.8,4.9,3,3,0
2022/1/21,3.4,6.8,1,0,7.3,4.6,5.3,2.4,0
2022/1/22,5.1,9,3.2,0,5.7,4.8,5.5,1.8,0
2022/1/23,3.6,5.3,1.9,12.5,0,6.5,9.8,2.2,0
2022/1/24,6.1,10.3,3.8,0,5,6.5,5.8,2.8,0
2022/1/25,5,8.6,0.5,0,3.2,5.8,4.8,1.3,0
2022/1/26,7,11.4,1.5,0,8.1,6.5,5,1.7,0
2022/1/27,7.7,11.2,4.5,0,5.2,6.1,6.8,1.9,0
2022/1/28,6.3,11.2,2,0,6.6,6.2,6.8,2,0
2022/1/29,6.4,9.9,3.2,0,3.2,6,9.3,1.8,0
2022/1/30,6.6,10,4.5,0,4.5,5.2,9.8,2,0
2022/1/31,5.3,9.7,1.9,0,3.9,5.3,6,1.8,0
2022/2/1,5.9,11,1.2,0,6.1,5.4,5,2.7,0
2022/2/2,6.2,9.5,2.5,0,6.9,5.3,4,2.6,0
2022/2/3,6.7,9.7,4.7,0,2.9,4.9,9.5,2.7,0
2022/2/4,5.5,9.5,2,0,8.6,4.7,4.5,2.7,0
2022/2/5,3.9,6.5,1.7,0,5.5,3.5,3.5,4.2,0
2022/2/6,3.3,7.2,0.9,0,6.9,4,2.3,3.4,0
2022/2/7,4.4,8.4,0.2,0,6.5,4.8,4.8,1.7,0
2022/2/8,5.7,10.3,3.5,0,1.9,5.8,10,1.7,0
2022/2/9,6.2,11.4,2.9,0,9,5.4,4,2.2,0
