date,mean temperature,maximum temperature,minimum temperature,rainfall,daylight,steam pressure,cloudiness,wind spped,fallen snow
2022/1/1,3.4,7.8,-1,0,8.8,2.5,0,4.1,0
2022/1/2,3.5,7.9,0.4,0,6.2,4.2,2.5,2,0
2022/1/3,5.5,10.5,0.5,0,8.1,5,0.3,2.2,0
2022/1/4,5.2,12.4,0.6,0,8.9,4.7,0.3,2.5,0
2022/1/5,4.1,8.7,0.6,0,8.9,3,2.5,3.5,0
2022/1/6,0.7,2.6,-1.7,6.5,0,4.6,7.8,2,10
2022/1/7,2.6,8.4,-3.5,0,8.9,4.4,0.3,2.6,9
2022/1/8,4.5,9.5,-0.2,0,8.9,4.4,1,1.9,1
2022/1/9,6.3,13.4,-0.5,0,7.4,4.8,5,1.5,0
2022/1/10,7.7,9.6,6.1,0,0.3,6.4,9.8,2,0
2022/1/11,5.7,7.2,4.3,16,0,8.3,10,1.9,0
2022/1/12,5,8.6,2.4,0,9.1,4,0,3.5,0
2022/1/13,5.7,11.5,2.3,0,6.9,4,5.5,3.6,0
2022/1/14,4.4,8.6,0.7,0,9.2,3,0,4.5,0
2022/1/15,5.5,10.5,-0.2,0,7.7,3.6,7.5,3,0
2022/1/16,5.4,11.1,0.3,0,9.1,5.4,0,1.6,0
2022/1/17,6,11.8,1.4,0,6.9,5.4,7.3,1.5,0
2022/1/18,4.4,8.7,1.6,0,9.2,3.2,0.3,3.8,0
2022/1/19,3.7,8.1,0.6,0,5.4,3.5,2.3,2.4,0
2022/1/20,3.4,8.4,-1,0,8.7,4,0,3.4,0
2022/1/21,3,7.8,-0.9,0,9,3.2,1,3.9,0
2022/1/22,4.5,9.9,-0.1,0,9.2,3.6,2.5,2.4,0
2022/1/23,5.1,7.7,1.6,0,1.5,4.7,9.5,1.9,0
2022/1/24,6.4,11,1.4,0,8.3,5.1,7,2.6,0
2022/1/25,5.2,9.6,0.3,0,6.8,5.1,5,1.9,0
2022/1/26,5.5,9.5,3.7,0,3.5,7.5,5.8,1.9,0
2022/1/27,6.8,11.9,2,0,8.1,4.9,5.8,3.1,0
2022/1/28,6.6,11.8,4.1,0,3.6,4,7.3,2.5,0
2022/1/29,5.9,10,3.7,0,4.8,4.5,9,2.2,0
2022/1/30,5.2,8.2,2.2,0,4.2,3.8,9,2.6,0
2022/1/31,4.9,10,1.5,0,9.2,3.1,0.8,3.3,0
2022/2/1,5.6,11.2,1.1,0,9.2,4.2,0.8,2.5,0
2022/2/2,5.5,11.1,0.9,0,9.3,3.9,0.5,2.5,0
2022/2/3,5.8,11.8,0.6,0,7.8,3.8,5,1.8,0
2022/2/4,4.9,8.5,2.4,0,1,4.3,7.5,1.9,0
2022/2/5,3.5,9.2,0.3,0,6.1,3.4,2.5,3.5,0
2022/2/6,2.3,8.2,-1.9,0,5.2,3.1,2.5,2.3,0
2022/2/7,4.5,9.7,-0.5,0,8.1,2.9,1.8,2.4,0
2022/2/8,5.3,9.1,2.2,0,3.6,5,9.3,2,0
2022/2/9,6.2,10.8,1.8,0,9,4.7,6.5,2.6,0
2022/2/10,2.3,6.1,0.6,27,0,6.4,10,2.6,2
2022/2/11,4.1,9.2,0.7,2.5,8.7,6.2,4.8,2.8,2
2022/2/12,4.7,9.9,0.2,0,9.4,5.2,5,1.9,0
2022/2/13,3.1,5,0.8,22.5,0,6.6,7.5,1.9,0
2022/2/14,3.9,8,0.8,3.5,3.5,6.1,7.3,2.2,0
2022/2/15,5.5,11.6,1.1,0,5.3,6.5,3.3,1.9,0
2022/2/16,6,11.8,1.3,0,5.8,5.4,3.8,2.4,0
2022/2/17,4.6,9.7,0.5,0,8.8,2.8,3.3,3.1,0
2022/2/18,5.7,11.4,-0.2,0,10,3.7,0,3.4,0
2022/2/19,5,8.9,1.5,6.5,1,6.3,7.5,1.8,0
2022/2/20,5.9,10,2.4,9,0.2,7.1,7.5,2.9,0
2022/2/21,4.1,8.7,1.2,0,9.5,2.7,0,3.7,0
2022/2/22,4.4,10,-0.5,0,10,3.1,0.8,2.3,0
2022/2/23,4.4,10.3,0.1,0,8.9,3.1,2.3,2.4,0
2022/2/24,4.8,10.1,1.7,0,9.2,2.8,4,3.7,0
2022/2/25,6.5,13.4,-0.1,0,10.7,3.1,0,2.4,0
2022/2/26,8.6,14.7,3,0,10.7,5.3,1.5,3,0
2022/2/27,9.5,18.5,3.2,0,10.5,5,2.5,3.4,0
2022/2/28,9.8,15.9,4.5,0,9.4,4.9,4.8,2.8,0
2022/3/1,11,18.3,4.9,0,7.9,6.5,6.8,2,0
2022/3/2,11.2,16.3,7.2,4,6.1,7.3,6.3,2.6,0
2022/3/3,9.5,15,4.7,0,8.3,7.4,5,2.4,0
2022/3/4,8.1,12.2,4.7,0,6.3,5.4,8.5,2.9,0
